[2025-07-06 13:38:09] [INFO    ] discord.client: logging in using static token
[2025-07-06 13:38:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Rulet bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1391344171452727398', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5007', 'clan': None, 'bot': True, 'avatar': 'b94d746d3b8a04c725fd181c90fad829'}, 'session_type': 'normal', 'session_id': '37bf0ab5de2135b2b70f10cba1e33632', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['madrid', 'milan', 'paris', 'frankfurt', 'frankfurt-two'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1391344171452727398', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-sfb7",{"micros":87943,"calls":["id_created",{"micros":531,"calls":[]},"session_lookup_time",{"micros":1773,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-121",{"micros":85277,"calls":["start_session",{"micros":50779,"calls":["discord-api-rpc-b7d56974-86jqr",{"micros":34652,"calls":["get_user",{"micros":5711},"get_guilds",{"micros":3306},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":349},"authorized_ip_coro",{"micros":20},"pending_payments",{"micros":4756},"apex_experiments",{"micros":3187},"user_activities",{"micros":5},"played_application_ids",{"micros":18}]}]},"starting_guild_connect",{"micros":24,"calls":[]},"presence_started",{"micros":13835,"calls":[]},"guilds_started",{"micros":1,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":20623,"calls":[]},"connect_finished",{"micros":20626,"calls":[]},"build_ready",{"micros":9,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-06 13:38:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-06 13:38:10] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 37bf0ab5de2135b2b70f10cba1e33632).
[2025-07-06 13:38:10] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-06 13:38:12] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-06 13:38:13] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1391344171452727398/commands with [{"name":"rulet","description":"Retar a alguine a la rulet","type":1,"options":[{"type":6,"name":"persona","description":"La persona a la que retaras a la rulet","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-07-06 13:38:13] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-07-06 13:38:13] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1391344171452727398/commands has received [{'id': '1391382724668817492', 'application_id': '1391344171452727398', 'version': '1391382724668817493', 'default_member_permissions': None, 'type': 1, 'name': 'rulet', 'name_localizations': None, 'description': 'Retar a alguine a la rulet', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 6, 'name': 'persona', 'name_localizations': None, 'description': 'La persona a la que retaras a la rulet', 'description_localizations': None, 'required': True}], 'nsfw': False}]
[2025-07-06 13:38:51] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-07-06 13:38:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-06 13:39:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-07-06 13:39:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-06 13:40:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-07-06 13:40:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-06 13:40:55] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-07-06 13:40:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-06 13:41:36] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-07-06 13:41:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-06 13:42:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-07-06 13:42:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-06 13:42:59] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-07-06 13:42:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-06 13:43:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 1.
[2025-07-06 13:43:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
